Fecha;Hora;Usuario;Tabla;Funcion;Accion;id_registro 
7/2/2018;11:44:57;0001;;INGRESA DESDE IP ;0:0:0:0:0:0:0:1
7/2/2018;11:44:58;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;11:59:23;0001;;INGRESA DESDE IP ;0:0:0:0:0:0:0:1
7/2/2018;11:59:24;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:13:6;0001;;INGRESA DESDE IP ;0:0:0:0:0:0:0:1
7/2/2018;14:13:6;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:13:12;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/pecuarios/pec_reg_rpp.jsp
7/2/2018;14:15:41;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:15:42;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:19:21;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:19:23;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:19:58;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:20:0;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:20:19;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:20:20;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:20:43;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:20:45;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:21:35;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:21:37;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:22:1;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:22:4;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:22:25;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:22:27;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:22:59;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:23:0;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:23:25;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:23:27;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:24:2;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:24:3;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:24:54;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:24:55;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:25:24;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:25:25;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:26:57;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:26:59;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:27:55;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:27:57;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:28:21;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:28:23;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:33:28;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:33:31;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:33:39;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:33:41;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/personas/per_reg_reg.jsp
7/2/2018;14:33:44;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:33:45;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/bienes/bie_reg_bia.jsp
7/2/2018;14:33:48;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:33:49;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/pecuarios/pec_reg_rpp.jsp
7/2/2018;14:33:51;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:33:51;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:35:0;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:35:2;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:35:42;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:35:44;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:36:35;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:36:36;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:37:48;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:37:50;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
7/2/2018;14:40:49;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/menu/index.jsp
7/2/2018;14:40:50;miguel ortiz;;INGRESA A JSP ;http://localhost:8080/ProyectoRUD/cultivos/cul_reg_rcp.jsp
